order_id,order_date,customer_id,country,brand,model,price,quantity,discount,payment_method,rating,returned
ORD-102880,23-02-2024,CUST-39349,france,Samsung,Galaxy S24,891.61,3.0,0.043,PayPal,3.2,True
ORD-102436,26-02-2024,CUST-10983,France,APPLE,iPhone SE,842.81,1.0,0.117,Debit Card,,False
ORD-101769,05/14/2023,CUST-78285,Brazil,OnePlus,OnePlus 11,506.56,2.0,0.324,Credit Card,2.7,1
ORD-100023,19-06-2022,CUST-87180,Australia,GOOGLE,Pixel 8 Pro,662.27,2.0,0.38,PayPal,2.9,1
ORD-102394,15-04-2022,CUST-50363,Canada,Motorola,Moto G84,1182.93,2.0,0.069,UPI,1.0,True
ORD-101200,14-07-2024,CUST-27946,France,OnePlus,OnePlus 11,477.08,5.0,0.073,Bank Transfer,4.9,False
ORD-100812,09-11-2023,CUST-16214,Brazil,Sony,Xperia 10 V,449.2,3.0,0.358,PayPal,3.9,False
ORD-101173,02/04/2022,CUST-41448,Australia,Sony,Xperia 10 V,700.98,4.0,0.039,UPI,1.2,False
ORD-100501,05/02/2024,CUST-45271,Canada,samsung,Galaxy Z Fold 5,668.58,3.0,0.262,Credit Card,2.8,False
ORD-102634,2023-08-06,CUST-46223,Japan,Samsung,Galaxy Z Fold 5,1365.89,4.0,0.281,PayPal,,False
ORD-104794,10/29/2022,CUST-65646,,OnePlus,,1239.08,4.0,0.037,COD,2.5,False
ORD-103142,03/17/2024,CUST-55189,France,Sony,Xperia 1 V,181.48,,0.298,UPI,1.7,False
ORD-100465,16-11-2023,CUST-45058,Australia,Google,Pixel 8,327.75,4.0,0.258,Credit Card,4.9,False
ORD-101840,2024-10-23,CUST-50908,India,Motorola,Moto G84,267.51,2.0,0.151,Debit Card,4.1,False
ORD-103295,2022-02-26,CUST-84870,Brazil,Google,Pixel 8 Pro,1364.54,4.0,0.059,Debit Card,3.7,1
ORD-103931,2023-10-09,CUST-85897,,Motorola,Edge 40 Pro,526.94,4.0,0.091,Debit Card,1.2,False
ORD-103647,01/08/2023,CUST-38397,Japan,XIAOMI,Redmi 12,1204.77,1.0,0.078,UPI,1.9,False
ORD-103571,06/05/2022,CUST-70650,GERMANY,Apple,iPhone 15 Pro,620.66,2.0,0.179,UPI,1.7,no
ORD-100879,2024-05-24,CUST-14370,UK,GOOGLE,Pixel 8,806.78,5.0,0.319,Debit Card,1.7,yes
ORD-101383,2023-05-26,CUST-39407,USA,Sony,Xperia 5 V,513.16,3.0,0.219,PayPal,4.6,False
ORD-103664,2022-05-15,CUST-11565,UK,APPLE,iPhone 15,853.92,3.0,0.186,PayPal,3.8,yes
ORD-100106,10/07/2024,CUST-35438,,Xiaomi,Redmi Note 13,469.08,2.0,0.078,UPI,4.6,0
ORD-101397,02/08/2023,CUST-40509,FRANCE,OnePlus,OnePlus 12,1217.07,4.0,0.166,UPI,4.6,0
ORD-102746,20-01-2023,CUST-27449,U.K.,Samsung,Galaxy A54,1259.66,5.0,0.28,PayPal,1.5,False
ORD-102145,04/04/2022,CUST-64811,UK,Xiaomi,POCO F5,299.45,3.0,0.324,Debit Card,4.3,False
ORD-101344,2024-05-24,CUST-27097,Singapore,google,Pixel 8,191.79,4.0,0.339,COD,2.2,False
ORD-102186,01/20/2024,CUST-75438,germany,Samsung,Galaxy Z Fold 5,1299.49,1.0,0.339,COD,4.5,False
ORD-104328,28-02-2023,CUST-50703,Germany,OnePlus,OnePlus 11,1024.24,5.0,0.072,PayPal,1.0,True
ORD-103336,03/19/2024,CUST-19324,Australia,Motorola,Edge 40 Pro,1131.45,4.0,0.063,Debit Card,2.8,1
ORD-101652,10-08-2024,CUST-19778,Germany,,iPhone 15,706.17,2.0,0.175,PayPal,4.6,False
ORD-101961,21-11-2022,CUST-76672,India,Google,Pixel 7a,1181.71,4.0,0.159,Bank Transfer,1.7,False
ORD-100733,07-11-2024,CUST-73768,USA,OnePlus,OnePlus 11,707.37,2.0,0.082,COD,3.4,True
ORD-102138,05/01/2023,CUST-29663,USA,Sony,Xperia 1 V,924.9,3.0,0.319,PayPal,3.9,True
ORD-101057,13-05-2022,CUST-77025,Australia,Motorola,Moto G53,724.77,5.0,0.146,Debit Card,3.2,1
ORD-104635,22-07-2023,CUST-52957,uk,OnePlus,OnePlus 11,1057.89,5.0,0.042,UPI,2.3,0
ORD-100711,05-01-2022,CUST-57522,germany,Samsung,Galaxy S24,1128.03,,0.38,UPI,4.1,yes
ORD-103702,30-01-2023,CUST-55527,United States,Apple,iPhone 14,763.44,3.0,0.1,Credit Card,3.1,False
ORD-100239,12/08/2023,CUST-53515,Singapore,Samsung,Galaxy A54,909.99,2.0,0.046,COD,2.4,False
ORD-100065,08/18/2022,CUST-74737,France,SAMSUNG,Galaxy Z Fold 5,682.03,5.0,0.274,Debit Card,4.8,True
ORD-100776,2024-10-27,CUST-83087,India,Xiaomi,Redmi 12,1191.13,4.0,0.247,UPI,4.0,True
ORD-100410,19-09-2024,CUST-14906,Canada,apple,iPhone 15 Pro,236.86,4.0,0.352,Credit Card,2.3,False
ORD-100530,06/01/2023,CUST-54164,India,,,1026.79,1.0,0.389,Debit Card,2.3,False
ORD-102146,2024-02-25,CUST-58325,India,Sony,Xperia 10 V,841.86,2.0,0.325,Debit Card,,False
ORD-100589,,CUST-19432,FRANCE,xiaomi,POCO F5,1009.93,3.0,0.006,UPI,4.6,False
ORD-102692,02/18/2024,CUST-79418,USA,OnePlus,OnePlus Nord 3,340.8,,0.158,UPI,3.1,True
ORD-103135,08/04/2023,CUST-55014,UK,Samsung,Galaxy S23,985.06,4.0,,,1.7,True
ORD-103638,03/01/2022,CUST-82599,Brazil,Sony,Xperia 5 V,904.69,2.0,0.14,Debit Card,4.9,1
ORD-103905,08/18/2024,CUST-17566,Australia,samsung,Galaxy S23,822.7,4.0,0.314,Debit Card,3.9,1
ORD-102759,10/12/2022,CUST-70872,France,Xiaomi,POCO F5,948.91,3.0,0.004,Credit Card,3.3,yes
ORD-101615,2022-12-21,CUST-23315,UK,OnePlus,OnePlus Nord 3,919.39,4.0,0.391,COD,5.0,1
ORD-102414,20-12-2024,CUST-44921,India,Motorola,Edge 40 Pro,945.54,-1.0,0.151,Debit Card,3.3,False
ORD-104879,20-11-2023,CUST-99920,Canada,Motorola,Moto G84,772.77,1.0,0.078,Credit Card,3.9,False
ORD-104127,01/24/2023,CUST-48307,France,Sony,,1281.93,4.0,0.001,Credit Card,4.8,True
ORD-100561,23-12-2023,CUST-33268,Germany,Xiaomi,Redmi Note 13,1258.6,4.0,0.355,UPI,3.8,0
ORD-100084,2023-03-02,CUST-26004,Germany,Sony,Xperia 1 V,1273.35,5.0,0.3,PayPal,3.0,False
ORD-104629,2022-01-14,CUST-85296,Canada,ONEPLUS,OnePlus Nord 3,1243.52,5.0,0.393,UPI,1.4,yes
ORD-103105,2023-12-18,CUST-18945,USA,xiaomi,Redmi Note 13,1431.11,3.0,0.057,Debit Card,4.1,False
ORD-102534,2022-08-11,CUST-72407,uk,samsung,Galaxy S23,244.6,5.0,0.335,Bank Transfer,4.6,0
ORD-102144,2022-05-11,CUST-26080,USA,Sony,Xperia 1 V,828.78,3.0,0.275,Bank Transfer,1.1,False
ORD-101526,2024-01-30,CUST-74614,Japan,XIAOMI,Xiaomi 14,1377.05,4.0,,Bank Transfer,3.1,False
ORD-103247,04/10/2024,CUST-20754,France,Samsung,Galaxy S24,783.64,1.0,0.026,Bank Transfer,2.0,False
ORD-100734,20-09-2024,CUST-23916,,Apple,iPhone 15 Pro,251.51,3.0,0.351,Credit Card,2.1,False
ORD-101362,16-03-2022,CUST-61745,Japan,Apple,iPhone 15 Pro,288.28,2.0,0.154,Credit Card,1.4,False
ORD-103534,17-05-2023,CUST-89438,Canada,OnePlus,OnePlus Nord 3,1491.58,5.0,0.051,PayPal,1.6,False
ORD-100486,19-04-2023,CUST-90883,Canada,OnePlus,OnePlus Nord 3,1172.77,1.0,0.241,PayPal,1.7,yes
ORD-101504,13-08-2022,CUST-50428,france,Sony,Xperia 10 V,835.08,5.0,0.153,Debit Card,4.6,False
ORD-103298,2022-08-06,CUST-71620,France,Apple,iPhone 15,1305.02,4.0,0.112,PayPal,4.9,False
ORD-103450,2024-07-10,CUST-39701,Singapore,google,Pixel 8,669.37,5.0,0.166,Credit Card,2.7,no
ORD-104451,07-07-2022,CUST-93560,UK,Samsung,Galaxy S24,320.12,4.0,0.132,COD,3.7,yes
ORD-103164,06/22/2022,CUST-68232,Brazil,OnePlus,OnePlus 12,1463.57,,0.053,Bank Transfer,4.8,True
ORD-102972,2024-07-04,CUST-54386,india,Samsung,Galaxy S23,800.25,1.0,0.086,COD,4.2,no
ORD-101438,11/05/2022,CUST-91820,Australia,APPLE,iPhone 15,902.71,1.0,0.397,Bank Transfer,1.2,False
ORD-100179,02/05/2024,CUST-31302,INDIA,Samsung,Galaxy S24,1002.69,5.0,0.287,UPI,2.3,False
ORD-101128,09/04/2023,CUST-37074,,Apple,iPhone 14,474.74,1.0,0.074,Debit Card,1.7,False
ORD-100079,11/29/2024,CUST-66292,UK,Sony,Xperia 5 V,584.98,4.0,0.253,UPI,2.0,False
ORD-102584,06/26/2022,CUST-98502,USA,Samsung,Galaxy S24,686.91,5.0,0.121,PayPal,4.9,False
ORD-101909,11/24/2022,CUST-42075,Germany,Samsung,Galaxy S23,911.86,0.0,0.018,COD,4.2,False
ORD-102771,07/26/2022,CUST-53944,Germany,apple,iPhone 15,719.57,4.0,0.108,Credit Card,4.5,True
ORD-104872,18-04-2022,CUST-23395,UK,,Galaxy A54,905.26,3.0,0.184,Bank Transfer,3.4,1
ORD-103103,04/19/2024,CUST-25994,Brazil,Sony,Xperia 5 V,180.99,5.0,0.269,Debit Card,1.1,False
ORD-102945,14-07-2024,CUST-12701,USA,Samsung,Galaxy A54,1488.42,3.0,0.349,COD,0.0,False
ORD-100199,2022-12-16,CUST-31490,Singapore,xiaomi,Redmi 12,680.95,,0.213,Credit Card,4.2,False
ORD-102135,2022-05-29,CUST-50572,Brazil,apple,iPhone SE,862.12,2.0,0.357,Credit Card,4.9,True
ORD-100279,01/26/2023,CUST-94587,france,Samsung,Galaxy S24,1409.51,4.0,0.371,Bank Transfer,1.5,1
ORD-100907,2023-03-13,CUST-73359,Japan,xiaomi,Redmi 12,212.81,4.0,0.07,Debit Card,1.6,False
ORD-103408,10/29/2024,CUST-89579,India,google,Pixel 8,766.09,4.0,0.369,Debit Card,4.9,
ORD-101144,02-04-2024,CUST-27478,uk,GOOGLE,Pixel 8,393.24,3.0,0.357,UPI,3.1,False
ORD-100426,05/29/2024,CUST-40957,Canada,google,Pixel 8,982.0,5.0,0.35,UPI,3.1,True
ORD-101204,22-08-2024,CUST-95862,Canada,Samsung,Galaxy Z Fold 5,567.38,4.0,0.185,Credit Card,1.2,no
ORD-101454,08/05/2024,CUST-86890,FRANCE,Sony,Xperia 1 V,1347.83,5.0,0.124,Debit Card,2.2,
ORD-102678,2022-04-29,CUST-25866,India,Google,Pixel 7a,1475.77,5.0,0.32,Bank Transfer,4.2,
ORD-102927,03/06/2023,CUST-71688,Canada,oneplus,OnePlus 11,1212.16,1.0,0.076,UPI,3.9,False
ORD-102213,2024-07-24,CUST-60506,France,SAMSUNG,Galaxy S23,,2.0,0.168,Bank Transfer,3.9,False
ORD-100157,05/31/2023,CUST-19742,FRANCE,ONEPLUS,OnePlus 12,422.84,2.0,0.371,COD,3.1,False
ORD-102492,2022-11-17,CUST-65121,Inda,Sony,Xperia 5 V,1162.06,4.0,0.188,Credit Card,4.1,yes
ORD-104176,12-01-2022,CUST-55301,Japan,Samsung,Galaxy Z Fold 5,416.4,5.0,0.3,PayPal,2.8,no
ORD-104576,01/09/2022,CUST-73573,Germany,Sony,Xperia 10 V,515.03,5.0,0.032,Credit Card,3.7,1
ORD-104150,06/15/2024,CUST-88408,germany,APPLE,iPhone SE,945.89,,,COD,3.6,no
ORD-100228,07/10/2024,CUST-83735,France,OnePlus,OnePlus 11,1390.76,1.0,0.386,Bank Transfer,1.2,True
ORD-103200,2023-02-11,CUST-34083,USA,Samsung,Galaxy A54,1045.58,2.0,0.18,PayPal,2.0,False
ORD-100926,2023-11-17,CUST-97565,India,Apple,iPhone 15,355.93,3.0,0.065,COD,3.2,False
ORD-104295,02/23/2022,CUST-47835,india,Google,Pixel 8,1049.4,5.0,0.308,Bank Transfer,,0
ORD-101620,25-12-2024,CUST-89687,India,,Xperia 5 V,1383.63,2.0,0.191,PayPal,1.1,0
ORD-100029,02-08-2023,CUST-98795,Japan,Apple,iPhone 14,548.72,4.0,0.121,COD,4.1,False
ORD-104013,2022-07-08,CUST-42381,Germany,ONEPLUS,OnePlus 11,461.21,1.0,0.098,PayPal,2.7,False
ORD-101055,23-03-2023,CUST-95502,Germany,OnePlus,OnePlus 11,1290.31,1.0,0.366,Bank Transfer,4.5,True
ORD-104002,18-04-2024,CUST-31373,Germany,apple,iPhone SE,965.76,4.0,0.362,Bank Transfer,1.1,True
ORD-100468,14-06-2022,CUST-16158,Japan,Samsung,Galaxy S23,1157.46,2.0,0.06,UPI,4.5,False
ORD-102157,2024-07-05,CUST-13250,,,Galaxy S24,1397.05,3.0,0.283,PayPal,1.3,yes
ORD-100670,29-07-2024,CUST-92905,Canada,xiaomi,Redmi 12,964.22,2.0,0.139,COD,2.3,1
ORD-104343,2023-10-30,CUST-70742,India,oneplus,OnePlus 11,1260.36,5.0,0.025,COD,3.3,False
ORD-104154,31-02-2023,CUST-28306,Brazil,apple,iPhone 14,256.77,1.0,0.259,Credit Card,3.1,True
ORD-101482,15-08-2024,CUST-71525,India,ONEPLUS,OnePlus 12,,2.0,0.043,Debit Card,3.4,False
ORD-101427,08/08/2023,CUST-86888,Canada,samsung,Galaxy Z Fold 5,890.32,1.0,0.288,PayPal,4.5,
ORD-103024,2023-09-25,CUST-72426,Japan,Motorola,Moto G84,1010.77,4.0,0.048,Debit Card,2.4,0
ORD-102610,09-02-2022,CUST-36321,India,OnePlus,OnePlus 12,294.43,5.0,0.025,Bank Transfer,4.8,no
ORD-100151,23-12-2024,CUST-12004,UK,xiaomi,Redmi Note 13,603.98,1.0,0.181,Bank Transfer,,False
ORD-100655,2024-04-10,CUST-23494,Singapore,Apple,,954.54,2.0,0.036,PayPal,2.6,1
ORD-102803,28-05-2022,CUST-31330,India,APPLE,iPhone SE,644.41,1.0,0.28,Bank Transfer,4.7,yes
ORD-102517,02-04-2022,CUST-12399,Canada,APPLE,iPhone 14,499.6,5.0,0.369,COD,2.3,True
ORD-100240,28-02-2023,CUST-37159,France,Xiaomi,POCO F5,200.36,1.0,0.226,Bank Transfer,1.3,True
ORD-100624,03/06/2024,CUST-46789,Japan,oneplus,OnePlus 11,707.21,4.0,0.272,Bank Transfer,4.2,True
ORD-104053,28-02-2022,CUST-14301,Brazil,OnePlus,,1189.07,5.0,0.187,Debit Card,3.9,True
ORD-104100,02-01-2022,CUST-68444,UK,Motorola,Moto G53,1399.32,5.0,0.3,UPI,4.8,True
ORD-100333,2024-05-27,CUST-79349,UK,Motorola,Moto G53,846.23,1.0,0.046,COD,2.7,False
ORD-104047,03/26/2022,CUST-60261,Brazil,Motorola,Moto G84,1470.08,5.0,0.384,Debit Card,2.4,yes
ORD-104463,10/06/2022,CUST-46443,Germany,APPLE,iPhone 14,816.59,1.0,0.154,Credit Card,1.3,1
ORD-103257,19-05-2024,CUST-23845,Japan,oneplus,OnePlus 11,402.58,3.0,0.232,PayPal,4.4,False
ORD-100168,2024-07-27,CUST-63174,Brazil,samsung,Galaxy A54,1311.46,3.0,,Debit Card,1.8,False
ORD-103116,05-03-2024,CUST-12027,Singapore,google,Pixel 8,1195.94,5.0,0.368,UPI,3.8,False
ORD-104528,10/23/2024,CUST-24625,Japan,oneplus,OnePlus 12,842.7,5.0,0.248,Credit Card,2.4,1
ORD-104552,01/07/2024,CUST-24658,,OnePlus,OnePlus 11,911.93,2.0,0.265,PayPal,3.3,False
ORD-100599,03/23/2024,CUST-99119,Singapore,Motorola,Moto G53,185.26,1.0,,UPI,2.2,False
ORD-100296,05-10-2023,CUST-15924,Canada,APPLE,iPhone 15,382.69,3.0,0.219,Credit Card,2.8,0
ORD-102291,10/05/2023,CUST-58385,germany,xiaomi,POCO F5,651.21,,0.349,UPI,2.2,yes
ORD-101714,10/24/2022,CUST-73816,Brazil,Google,Pixel 8,839.62,1.0,0.14,Credit Card,4.3,yes
ORD-104648,2022-09-05,CUST-91344,France,Sony,Xperia 5 V,1202.05,4.0,0.318,Debit Card,2.1,False
ORD-104974,19-11-2023,CUST-52830,INDIA,Sony,Xperia 10 V,792.85,1.0,0.03,,1.5,False
ORD-104481,05-09-2022,CUST-58615,Singapore,Apple,iPhone SE,99999.0,3.0,0.241,Credit Card,2.2,False
ORD-103360,2024-11-30,CUST-28204,Japan,SAMSUNG,Galaxy A54,598.96,5.0,0.394,Credit Card,1.0,yes
ORD-101174,06/29/2022,CUST-42119,USA,Apple,iPhone 15 Pro,1033.1,5.0,0.313,PayPal,2.7,False
ORD-104917,2024-04-03,CUST-23147,India,apple,iPhone 15 Pro,1114.26,2.0,0.219,COD,2.2,True
ORD-103864,06/17/2022,CUST-46225,France,Sony,Xperia 10 V,306.08,2.0,0.326,COD,2.6,True
ORD-100810,01/29/2024,CUST-56832,Japan,Samsung,Galaxy A54,814.03,2.0,0.385,Bank Transfer,3.1,1
ORD-101351,09/24/2023,CUST-37687,Brazil,Xiaomi,Xiaomi 14,253.84,2.0,0.153,Debit Card,2.2,0
ORD-101972,,CUST-50636,UK,OnePlus,OnePlus Nord 3,1447.45,1.0,0.128,Bank Transfer,2.4,True
ORD-103372,11-09-2023,CUST-28108,France,ONEPLUS,OnePlus 12,645.86,2.0,0.069,UPI,1.1,0
ORD-101553,05-05-2024,CUST-30477,Germany,Samsung,Galaxy S24,502.54,4.0,0.311,UPI,4.0,no
ORD-100553,16-11-2023,CUST-41812,,Samsung,Galaxy S23,546.34,3.0,0.008,Debit Card,1.1,False
ORD-101519,24-06-2024,CUST-10374,USA,Google,Pixel 8,187.78,3.0,0.354,Credit Card,1.4,0
ORD-101876,2023-11-20,CUST-20008,Japan,Apple,iPhone 15,386.26,4.0,0.375,Bank Transfer,2.5,False
ORD-101420,03/23/2023,CUST-99694,Germany,Sony,Xperia 10 V,556.82,4.0,0.001,UPI,2.2,False
ORD-104240,01-11-2024,CUST-84309,Germany,Xiaomi,Xiaomi 14,1149.11,3.0,0.137,Bank Transfer,4.3,
ORD-100763,2022-06-28,CUST-61519,Singapore,Apple,iPhone 15 Pro,-999.0,5.0,0.077,Bank Transfer,4.6,False
ORD-102520,05-05-2024,CUST-93160,france,xiaomi,Xiaomi 14,227.69,3.0,0.331,PayPal,3.0,1
ORD-100721,02/07/2023,CUST-61857,France,apple,iPhone 15 Pro,965.36,5.0,0.21,COD,2.0,True
ORD-101375,10-04-2023,CUST-99618,Japan,samsung,Galaxy S23,246.06,2.0,0.059,UPI,4.7,False
ORD-100681,01-09-2022,CUST-50224,Australia,samsung,Galaxy A54,158.58,5.0,0.397,Debit Card,1.6,no
ORD-102232,2022-11-22,CUST-57551,India,Xiaomi,Redmi 12,1078.76,4.0,0.332,Bank Transfer,1.5,no
ORD-104326,08-05-2023,CUST-16161,UK,Samsung,,762.21,1.0,0.046,PayPal,4.2,
ORD-102915,31-01-2023,CUST-17065,Australia,Motorola,Edge 40 Pro,617.06,5.0,0.032,Credit Card,0.0,yes
ORD-103901,04/07/2024,CUST-50551,Brazil,ONEPLUS,OnePlus 12,359.24,4.0,0.202,UPI,4.6,yes
ORD-101538,2024-02-16,CUST-40442,USA,XIAOMI,Redmi Note 13,629.84,2.0,0.127,Credit Card,5.0,0
ORD-102045,03-06-2024,CUST-98165,Australia,,Pixel 7a,1076.35,4.0,0.383,PayPal,2.3,1
ORD-102067,03/12/2023,CUST-24625,Germany,ONEPLUS,OnePlus Nord 3,463.8,2.0,0.279,Bank Transfer,3.2,True
ORD-101593,14-06-2024,CUST-85817,Japan,apple,iPhone 14,203.8,2.0,0.008,Credit Card,1.8,False
ORD-102700,07/20/2023,CUST-60668,,Xiaomi,Redmi 12,1316.75,1.0,0.212,COD,2.7,False
ORD-100227,03-12-2023,CUST-43652,UK,Xiaomi,Redmi Note 13,605.6,5.0,0.107,Credit Card,1.5,False
ORD-103954,03/03/2022,CUST-14288,Singapore,xiaomi,POCO F5,1132.43,1.0,0.288,PayPal,4.2,0
ORD-100544,09-01-2022,CUST-34009,Japan,Samsung,Galaxy Z Fold 5,1361.09,3.0,0.068,Debit Card,4.7,no
ORD-104008,06-08-2022,CUST-50106,India,oneplus,OnePlus 12,1296.37,3.0,0.103,Debit Card,4.9,1
ORD-103729,15-03-2022,CUST-99840,Australia,OnePlus,OnePlus Nord 3,1330.1,5.0,0.269,UPI,4.1,True
ORD-103226,06-10-2022,CUST-66731,Australia,apple,iPhone SE,1350.71,1.0,0.343,UPI,4.0,0
ORD-103248,29-04-2022,CUST-50919,Australia,Xiaomi,Xiaomi 14,,3.0,0.265,PayPal,3.0,True
ORD-102164,01/02/2024,CUST-58889,USA,Google,Pixel 8 Pro,1278.89,5.0,0.318,Bank Transfer,1.2,False
ORD-102748,2024-03-15,CUST-19989,UK,Xiaomi,Redmi Note 13,797.9,,0.198,Credit Card,2.3,0
ORD-100764,08/01/2023,CUST-72723,USA,Google,Pixel 7a,1404.88,2.0,0.39,Credit Card,4.8,False
ORD-102276,08-01-2024,CUST-97132,Canada,oneplus,OnePlus 12,1391.52,3.0,0.084,,1.3,no
ORD-102240,12/18/2023,CUST-85246,USA,Sony,Xperia 5 V,1091.61,2.0,0.011,PayPal,,yes
ORD-100248,2023-07-22,CUST-94142,Singapore,XIAOMI,POCO F5,939.94,1.0,0.278,Debit Card,1.5,False
ORD-104827,02-10-2024,CUST-69445,Australia,SAMSUNG,,1264.54,2.0,0.311,Debit Card,4.4,no
ORD-101242,14-01-2023,CUST-63412,USA,Apple,,902.65,1.0,0.181,Debit Card,1.8,False
ORD-100811,12/26/2023,CUST-29635,Canada,Sony,,1382.34,4.0,0.112,Debit Card,1.9,1
ORD-104141,30-09-2022,CUST-93655,Singapore,Sony,Xperia 10 V,509.34,5.0,0.101,Bank Transfer,1.4,1
ORD-102311,27-06-2024,CUST-19499,Australia,Sony,Xperia 1 V,1465.78,3.0,0.14,UPI,5.0,True
ORD-103892,01/16/2023,CUST-62380,FRANCE,GOOGLE,Pixel 8,572.58,5.0,0.011,COD,4.7,True
ORD-100996,,CUST-27743,Germany,google,Pixel 8 Pro,1028.64,4.0,0.178,Debit Card,2.8,False
ORD-102775,05/08/2024,CUST-34200,Brazil,samsung,Galaxy S24,1447.89,1.0,0.277,COD,3.1,True
ORD-104386,2024-08-09,CUST-45221,UK,Google,Pixel 7a,447.87,5.0,0.299,Credit Card,4.5,0
ORD-103215,29-06-2024,CUST-23182,France,OnePlus,OnePlus 11,240.61,1.0,0.158,Bank Transfer,4.2,True
ORD-101158,12/02/2022,CUST-83811,Canada,Samsung,Galaxy A54,1067.83,2.0,0.362,UPI,1.7,1
ORD-104325,,CUST-50347,USA,oneplus,OnePlus 12,646.97,3.0,0.165,UPI,1.2,False
